Season: A Letter to the Future: Обзор;Алексей Лихачев;Мир, который не хочется забывать;26 января;https://stopgame.ru/show/132177/season_a_letter_to_the_future_review
Kenshi: Обзор;Кирилл Волошин;Мы зря пропустили культовую игру;25 января;https://stopgame.ru/show/132156/kenshi_review
Marvel's Midnight Suns: Обзор;Алексей Лихачев;Лучшая игра по вселенной Marvel?;12 декабря 2022;https://stopgame.ru/show/131566/marvel_s_midnight_suns_review
Mount & Blade II: Bannerlord: Обзор;Степан Песков;Тихий шедевр;7 ноября 2022;https://stopgame.ru/show/131121/mount_blade_ii_bannerlord_review
The Legend of Heroes: Trails from Zero: Мы зря пропустили;Кирилл Волошин;Лучший способ познакомиться с JRPG;8 октября 2022;https://stopgame.ru/show/130715/the_legend_of_heroes_trails_from_zero_my_zrya_propustili
Return to Monkey Island: Обзор;Алексей Лихачев;Блестящее возвращение серии;26 сентября 2022;https://stopgame.ru/show/130566/return_to_monkey_island_review
Rollerdrome: Обзор;Алексей Лихачев;Tony Hawk? Max Payne? Всё вместе!;21 августа 2022;https://stopgame.ru/show/129851/rollerdrome_review
Stray: Обзор;Степан Песков;Лучшая игра про кота. И не только;24 июля 2022;https://stopgame.ru/show/129157/stray_review
Cuphead: The Delicious Last Course: Обзор;Алексей Лихачев;Подостывшее, но роскошное блюдо;3 июля 2022;https://stopgame.ru/show/128702/cuphead_the_delicious_last_course_review
AI: The Somnium Files - Nirvana Initiative: Обзор;Алексей Лихачев;В копилку лучших детективных историй;29 июня 2022;https://stopgame.ru/show/128640/ai_the_somnium_files_nirvana_initiative_review
Neon White: Обзор;Кирилл Волошин;Главный хит лета?;28 июня 2022;https://stopgame.ru/show/128541/neon_white_review
Citizen Sleeper: Обзор;Алексей Лихачев;Одна из лучших историй года;11 мая 2022;https://stopgame.ru/show/127133/citizen_sleeper_review
The Stanley Parable: Ultra Deluxe: Обзор;Кирилл Волошин;10 вёдер из 10;5 мая 2022;https://stopgame.ru/show/127021/the_stanley_parable_ultra_deluxe_review
Rogue Legacy 2: Обзор;Алексей Лихачев;Блестящий сиквел замечательной игры;28 апреля 2022;https://stopgame.ru/show/126719/rogue_legacy_2_review
Sable: Мы зря пропустили;Владимир Сечкарев;Идиллия в пустыне;25 апреля 2022;https://stopgame.ru/show/126559/sable_my_zrya_propustili
NORCO: Обзор;Кирилл Волошин;Крутые утки, Христос и блюз;7 апреля 2022;https://stopgame.ru/show/126347/norco_review
